,State,Confirmed,Cured,Dead
0,Andaman and Nicobar,33,17,0
1,Andhra Pradesh,1583,488,33
2,Arunachal Pradesh,1,1,0
3,Assam,43,32,1
4,Bihar,482,117,4
5,Chandigarh,94,19,0
6,Chhattisgarh,43,36,0
7,Delhi,4122,1256,64
8,Goa,7,7,0
9,Gujarat,5055,896,262
10,Haryana,394,227,4
11,Himachal Pradesh,40,33,1
12,Jammu and Kashmir,666,254,8
13,Jharkhand,115,22,3
14,Karnataka,606,282,25
15,Kerala,500,400,4
16,Ladakh,40,17,0
21,Madhya Pradesh,2846,798,156
17,Maharashtra,12296,2000,521
18,Manipur,2,2,0
19,Meghalaya,12,0,1
20,Mizoram,1,0,0
22,Odisha,160,56,1
23,Puducherry,8,5,0
24,Punjab,772,112,20
25,Rajasthan,2770,1121,65
26,Tamil Nadu,2757,1341,29
27,Telengana,1063,458,28
28,Tripura,4,2,0
29,Uttar Pradesh,2626,689,43
30,Uttarakhand,59,39,0
31,West Bengal,922,151,33
