,Confirmed,Cured,Dead,State
1,11,10,0,AndamanNicobar
0,525,20,14,AndhraPradesh
29,1,0,0,Arunachal Pradesh
27,33,0,1,Assam
2,70,29,1,Bihar
3,21,7,0,Chandigarh
4,33,17,0,Chhattisgarh
5,1578,40,32,Delhi
6,7,5,0,Goa
7,766,64,33,Gujarat
8,205,43,3,Haryana
9,35,16,1,HimachalPradesh
10,300,36,4,J & K
28,28,0,2,Jharkhand
11,279,80,12,Karnataka
12,388,218,3,Kerala
13,17,10,0,Ladakh
14,987,64,53,MP
15,2916,295,187,Maharashtra
16,2,1,0,Manipur
31,7,0,1,Meghalaya
17,1,0,0,Mizoram
18,60,18,1,Odisha
19,7,1,0,Puducherry
20,186,27,13,Punjab
21,1023,147,3,Rajasthan
22,1242,118,14,TamilNadu
23,647,120,18,Telengana
30,2,1,0,Tripura
25,735,51,11,UttarPradesh
24,37,9,0,Uttarakhand
26,213,42,7,West Bengal
