,Confirmed,Cured,Dead,State
0,27,11,0,AndamanNicobar
1,955,145,29,AndhraPradesh
2,1,1,0,Arunachal Pradesh
3,36,19,1,Assam
4,223,46,2,Bihar
5,27,14,0,Chandigarh
6,36,30,0,Chhattisgarh
7,2514,857,53,Delhi
8,7,7,0,Goa
9,2815,265,127,Gujarat
10,272,156,3,Haryana
11,40,18,1,HimachalPradesh
12,454,109,5,J & K
13,57,8,3,Jharkhand
14,474,152,18,Karnataka
15,450,331,3,Kerala
16,20,14,0,Ladakh
21,1852,210,92,MP
17,6817,840,301,Maharashtra
18,2,2,0,Manipur
19,12,0,1,Meghalaya
20,1,0,0,Mizoram
22,94,33,1,Odisha
23,7,3,0,Puducherry
24,298,67,17,Punjab
25,2034,230,27,Rajasthan
26,1755,866,22,TamilNadu
27,984,253,26,Telengana
28,2,1,0,Tripura
29,1621,247,25,UttarPradesh
30,48,25,0,Uttarakhand
31,571,103,18,West Bengal
