,State,Confirmed,Cured,Dead
0,Andaman and Nicobar,33,33,0
1,Andhra Pradesh,2474,1552,50
2,Arunachal Pradesh,1,1,0
3,Assam,107,41,2
4,Bihar,1391,494,9
5,Chandigarh,196,54,3
6,Chhattisgarh,93,59,0
7,Dadra and Nagar Haveli,1,0,0
8,Daman and Diu,0,0,0
9,Delhi,10054,4485,168
10,Goa,38,7,0
11,Gujarat,11745,4804,694
12,Haryana,928,598,14
13,Himachal Pradesh,90,44,3
14,Jammu and Kashmir,1289,609,15
15,Jharkhand,223,113,3
16,Karnataka,1246,530,37
17,Kerala,630,497,4
18,Ladakh,43,41,0
19,Lakshadweep,0,0,0
24,Madhya Pradesh,5236,2435,252
20,Maharashtra,35058,8437,1249
21,Manipur,7,2,0
22,Meghalaya,13,11,1
23,Mizoram,1,1,0
25,Nagaland,0,0,0
26,Odisha,876,220,4
27,Puducherry,18,9,1
28,Punjab,1980,1547,37
29,Rajasthan,5507,3218,138
30,Sikkim,0,0,0
31,Tamil Nadu,11760,4406,81
32,Telengana,1597,1000,35
33,Tripura,167,85,0
34,Uttar Pradesh,4605,2783,118
35,Uttarakhand,93,52,1
36,West Bengal,2825,1006,244
