,State,Confirmed,Cured,Dead
0,Andaman and Nicobar,33,33,0
1,Andhra Pradesh,1847,780,38
2,Arunachal Pradesh,1,1,0
3,Assam,54,34,1
4,Bihar,550,246,5
5,Chandigarh,135,21,1
6,Chhattisgarh,59,38,0
7,Dadra and Nagar Haveli,1,0,0
8,Delhi,5980,1931,66
9,Goa,7,7,0
10,Gujarat,7012,1709,425
11,Haryana,625,260,7
12,Himachal Pradesh,46,38,2
13,Jammu and Kashmir,793,335,9
14,Jharkhand,132,41,3
15,Karnataka,705,366,30
16,Kerala,503,474,4
17,Ladakh,42,17,0
22,Madhya Pradesh,3252,1231,193
18,Maharashtra,17974,3301,694
19,Manipur,2,2,0
20,Meghalaya,12,10,1
21,Mizoram,1,0,0
23,Odisha,219,62,2
24,Puducherry,9,6,0
25,Punjab,1644,149,28
26,Rajasthan,3427,1596,97
27,Tamil Nadu,5409,1547,37
28,Telengana,1123,650,29
29,Tripura,65,2,0
30,Uttar Pradesh,3071,1250,62
31,Uttarakhand,61,39,1
32,West Bengal,1548,364,151
