,Confirmed,Cured,Dead,State
1,11,10,0,AndamanNicobar
0,381,11,6,AndhraPradesh
29,1,0,0,Arunachal Pradesh
27,29,0,1,Assam
2,64,19,1,Bihar
3,19,7,0,Chandigarh
4,25,10,0,Chhattisgarh
5,1069,25,19,Delhi
6,7,5,0,Goa
7,432,44,22,Gujarat
8,185,29,3,Haryana
9,32,6,1,HimachalPradesh
10,224,6,4,J & K
28,17,0,1,Jharkhand
11,226,37,6,Karnataka
12,374,142,2,Kerala
13,15,10,0,Ladakh
14,564,0,36,MP
15,1761,208,127,Maharashtra
16,2,1,0,Manipur
17,1,0,0,Mizoram
18,54,12,1,Odisha
19,7,1,0,Puducherry
20,151,5,11,Punjab
21,700,21,3,Rajasthan
22,969,44,10,TamilNadu
23,504,43,9,Telengana
30,2,0,0,Tripura
25,452,45,5,UttarPradesh
24,35,5,0,Uttarakhand
26,134,19,5,West Bengal
