,Confirmed,Cured,Dead,State
1,11,0,0,AndamanNicobar
0,363,7,6,AndhraPradesh
29,1,0,0,Arunachal Pradesh
27,29,0,1,Assam
2,60,0,1,Bihar
3,18,7,0,Chandigarh
4,18,9,0,Chhattisgarh
5,903,25,13,Delhi
6,7,1,0,Goa
7,308,31,19,Gujarat
8,177,29,3,Haryana
9,28,6,1,HimachalPradesh
10,207,6,4,J & K
28,14,0,1,Jharkhand
11,207,31,6,Karnataka
12,364,123,2,Kerala
13,15,10,0,Ladakh
14,435,0,33,MP
15,1574,188,110,Maharashtra
16,2,1,0,Manipur
17,1,0,0,Mizoram
18,48,2,1,Odisha
19,5,1,0,Puducherry
20,132,5,11,Punjab
21,553,21,3,Rajasthan
22,911,44,8,TamilNadu
23,473,43,7,Telengana
30,1,0,0,Tripura
25,431,32,4,UttarPradesh
24,35,5,0,Uttarakhand
26,116,16,5,West Bengal
