,Confirmed,Cured,Dead,State
1,15,11,0,AndamanNicobar
0,646,42,15,AndhraPradesh
29,1,0,0,Arunachal Pradesh
27,35,17,1,Assam
2,93,42,2,Bihar
3,26,13,0,Chandigarh
4,36,25,0,Chhattisgarh
5,2003,72,45,Delhi
6,7,7,0,Goa
7,1743,105,63,Gujarat
8,233,87,3,Haryana
9,39,16,1,HimachalPradesh
10,350,56,5,J & K
28,42,0,2,Jharkhand
11,390,111,16,Karnataka
12,402,270,3,Kerala
13,18,14,0,Ladakh
14,1407,127,70,MP
15,4203,507,223,Maharashtra
16,2,1,0,Manipur
31,11,0,1,Meghalaya
17,1,0,0,Mizoram
18,68,24,1,Odisha
19,7,3,0,Puducherry
20,219,31,16,Punjab
21,1351,182,11,Rajasthan
22,1477,411,15,TamilNadu
23,844,186,18,Telengana
30,2,1,0,Tripura
25,1084,108,17,UttarPradesh
24,42,9,0,Uttarakhand
26,339,66,12,West Bengal
