,State,Confirmed,Cured,Dead
0,Andaman and Nicobar,33,33,0
1,Andhra Pradesh,2709,1763,55
2,Arunachal Pradesh,1,1,0
3,Assam,259,54,4
4,Bihar,2177,629,11
5,Chandigarh,218,178,3
6,Chhattisgarh,172,62,0
7,Dadra and Nagar Haveli,1,0,0
8,Daman and Diu,0,0,0
9,Delhi,12319,5897,208
10,Goa,54,16,0
11,Gujarat,13268,5880,802
12,Haryana,1067,706,16
13,Himachal Pradesh,168,59,3
14,Jammu and Kashmir,1489,720,20
15,Jharkhand,308,136,3
16,Karnataka,1743,597,41
17,Kerala,732,512,4
18,Ladakh,44,43,0
19,Lakshadweep,0,0,0
24,Madhya Pradesh,6170,3089,272
20,Maharashtra,44582,12583,1517
21,Manipur,26,2,0
22,Meghalaya,14,12,1
23,Mizoram,1,1,0
25,Nagaland,0,0,0
26,Odisha,1189,436,7
27,Puducherry,26,10,0
28,Punjab,2029,1847,39
29,Rajasthan,6494,3680,153
30,Sikkim,0,0,0
31,Tamil Nadu,14753,7128,98
32,Telengana,1761,1043,45
33,Tripura,175,152,0
34,Uttar Pradesh,5735,3238,152
35,Uttarakhand,153,56,1
36,West Bengal,3332,1221,265
