,State,Confirmed,Cured,Dead
0,Andaman and Nicobar,33,15,0
1,Andhra Pradesh,1259,258,31
2,Arunachal Pradesh,1,1,0
3,Assam,38,27,1
4,Bihar,366,64,2
5,Chandigarh,56,17,0
6,Chhattisgarh,38,34,0
7,Delhi,3314,1078,54
8,Goa,7,7,0
9,Gujarat,3744,434,181
10,Haryana,310,209,3
11,Himachal Pradesh,40,25,1
12,Jammu and Kashmir,565,176,8
13,Jharkhand,103,17,3
14,Karnataka,523,207,20
15,Kerala,485,359,4
16,Ladakh,22,16,0
21,Madhya Pradesh,2387,377,120
17,Maharashtra,9318,1388,400
18,Manipur,2,2,0
19,Meghalaya,12,0,1
20,Mizoram,1,0,0
22,Odisha,118,38,1
23,Puducherry,8,3,0
24,Punjab,322,71,19
25,Rajasthan,2364,768,51
26,Tamil Nadu,2058,1168,25
27,Telengana,1004,321,26
28,Tripura,2,2,0
29,Uttar Pradesh,2053,462,34
30,Uttarakhand,54,33,0
31,West Bengal,725,119,22
