,State,Confirmed,Cured,Dead
0,Andaman and Nicobar,33,32,0
1,Andhra Pradesh,1777,729,36
2,Arunachal Pradesh,1,1,0
3,Assam,45,32,1
4,Bihar,542,188,4
5,Chandigarh,120,21,1
6,Chhattisgarh,59,36,0
7,Dadra and Nagar Haveli,1,0,0
8,Delhi,5532,1542,65
9,Goa,7,7,0
10,Gujarat,6625,1500,396
11,Haryana,594,260,7
12,Himachal Pradesh,45,38,2
13,Jammu and Kashmir,775,322,8
14,Jharkhand,127,37,3
15,Karnataka,693,354,29
16,Kerala,503,469,4
17,Ladakh,41,17,0
22,Madhya Pradesh,3138,1099,185
18,Maharashtra,16758,3094,651
19,Manipur,2,2,0
20,Meghalaya,12,10,1
21,Mizoram,1,0,0
23,Odisha,185,61,2
24,Puducherry,9,6,0
25,Punjab,1516,135,27
26,Rajasthan,3317,1596,92
27,Tamil Nadu,4829,1516,35
28,Telengana,1107,628,29
29,Tripura,43,2,0
30,Uttar Pradesh,2998,1130,60
31,Uttarakhand,61,39,1
32,West Bengal,1456,364,144
