,State,Confirmed,Cured,Dead
0,Andaman and Nicobar,33,33,0
1,Andhra Pradesh,3569,2289,60
2,Arunachal Pradesh,4,1,0
3,Assam,1185,163,4
4,Bihar,3636,1618,20
5,Chandigarh,289,189,4
6,Chhattisgarh,447,102,1
7,Dadra and Nagar Haveli,2,0,0
8,Daman and Diu,0,0,0
9,Delhi,18549,8075,416
10,Goa,70,41,0
11,Gujarat,16343,9230,1007
12,Haryana,1923,971,20
13,Himachal Pradesh,313,111,5
14,Jammu and Kashmir,2341,908,28
15,Jharkhand,563,256,5
16,Karnataka,2922,997,48
17,Kerala,1208,575,9
18,Ladakh,74,43,0
19,Lakshadweep,0,0,0
24,Madhya Pradesh,7891,4444,343
20,Maharashtra,65168,28081,2197
21,Manipur,62,8,0
22,Meghalaya,27,12,1
23,Mizoram,1,1,0
25,Nagaland,36,0,0
26,Odisha,1819,1050,7
27,Puducherry,51,14,0
28,Punjab,2233,1967,44
29,Rajasthan,8617,5739,193
30,Sikkim,1,0,0
31,Tamil Nadu,21184,12000,160
32,Telengana,2499,1412,77
33,Tripura,268,172,0
34,Uttar Pradesh,7445,4410,201
35,Uttarakhand,749,102,5
36,West Bengal,5130,1970,309
