,State,Confirmed,Cured,Dead
0,Andaman and Nicobar,33,33,0
1,Andhra Pradesh,1887,842,41
2,Arunachal Pradesh,1,1,0
3,Assam,59,34,1
4,Bihar,571,297,5
5,Chandigarh,150,21,1
6,Chhattisgarh,59,38,0
7,Dadra and Nagar Haveli,1,0,0
8,Delhi,6318,2020,68
9,Goa,7,7,0
10,Gujarat,7402,1872,449
11,Haryana,647,279,8
12,Himachal Pradesh,50,38,2
13,Jammu and Kashmir,823,364,9
14,Jharkhand,132,52,3
15,Karnataka,753,376,30
16,Kerala,503,484,4
17,Ladakh,42,17,0
22,Madhya Pradesh,3341,1349,200
18,Maharashtra,19063,3470,731
19,Manipur,2,2,0
20,Meghalaya,12,10,1
21,Mizoram,1,0,0
23,Odisha,271,63,2
24,Puducherry,9,6,0
25,Punjab,1731,152,29
26,Rajasthan,3579,1916,101
27,Tamil Nadu,6009,1605,40
28,Telengana,1133,700,29
29,Tripura,118,2,0
30,Uttar Pradesh,3214,1387,66
31,Uttarakhand,63,46,1
32,West Bengal,1678,364,160
