,State,Confirmed,Cured,Dead
0,Andaman and Nicobar,33,33,0
1,Andhra Pradesh,2307,1252,48
2,Arunachal Pradesh,1,1,0
3,Assam,90,41,2
4,Bihar,1018,438,7
5,Chandigarh,191,37,3
6,Chhattisgarh,66,56,0
7,Dadra and Nagar Haveli,1,0,0
8,Daman and Diu,0,0,0
9,Delhi,8895,3518,123
10,Goa,15,7,0
11,Gujarat,9931,4035,606
12,Haryana,818,439,11
13,Himachal Pradesh,76,39,3
14,Jammu and Kashmir,1013,513,11
15,Jharkhand,203,87,3
16,Karnataka,1056,480,36
17,Kerala,576,492,4
18,Ladakh,43,22,0
19,Lakshadweep,0,0,0
24,Madhya Pradesh,4595,2283,239
20,Maharashtra,29100,6564,1068
21,Manipur,3,2,0
22,Meghalaya,13,11,1
23,Mizoram,1,1,0
25,Nagaland,0,0,0
26,Odisha,672,166,3
27,Puducherry,13,9,1
28,Punjab,1935,305,32
29,Rajasthan,4727,2677,125
30,Sikkim,0,0,0
31,Tamil Nadu,10108,2599,71
32,Telengana,1454,959,34
33,Tripura,156,42,0
34,Uttar Pradesh,4057,2165,95
35,Uttarakhand,82,51,1
36,West Bengal,2461,829,225
