,State,Confirmed,Cured,Dead
0,Andaman and Nicobar,33,33,0
1,Andhra Pradesh,2823,1856,56
2,Arunachal Pradesh,1,1,0
3,Assam,378,55,4
4,Bihar,2587,702,13
5,Chandigarh,238,186,3
6,Chhattisgarh,252,67,0
7,Dadra and Nagar Haveli,2,0,0
8,Daman and Diu,0,0,0
9,Delhi,13418,6540,261
10,Goa,66,19,0
11,Gujarat,14056,6412,858
12,Haryana,1184,765,16
13,Himachal Pradesh,203,63,3
14,Jammu and Kashmir,1621,809,21
15,Jharkhand,370,148,4
16,Karnataka,2089,654,42
17,Kerala,847,521,4
18,Ladakh,52,43,0
19,Lakshadweep,0,0,0
24,Madhya Pradesh,6665,3408,290
20,Maharashtra,50231,14600,1635
21,Manipur,32,4,0
22,Meghalaya,14,12,1
23,Mizoram,1,1,0
25,Nagaland,0,0,0
26,Odisha,1336,550,7
27,Puducherry,41,12,0
28,Punjab,2060,1898,40
29,Rajasthan,7028,3848,163
30,Sikkim,1,0,0
31,Tamil Nadu,16277,8324,111
32,Telengana,1854,1090,53
33,Tripura,191,165,0
34,Uttar Pradesh,6268,3538,161
35,Uttarakhand,317,58,3
36,West Bengal,3667,1339,272
