,Confirmed,Cured,Dead,State
1,11,0,0,AndamanNicobar
0,348,6,4,AndhraPradesh
29,1,0,0,Arunachal Pradesh
27,29,0,0,Assam
2,39,0,1,Bihar
3,18,7,0,Chandigarh
4,10,9,0,Chhattisgarh
5,720,25,12,Delhi
6,7,0,0,Goa
7,241,26,17,Gujarat
8,169,29,3,Haryana
9,18,2,1,HimachalPradesh
10,158,4,4,J & K
28,13,0,1,Jharkhand
11,181,28,5,Karnataka
12,357,96,2,Kerala
13,15,10,0,Ladakh
14,259,0,16,MP
15,1364,125,97,Maharashtra
16,2,1,0,Manipur
17,1,0,0,Mizoram
18,44,2,1,Odisha
19,5,1,0,Puducherry
20,101,4,8,Punjab
21,463,21,3,Rajasthan
22,834,21,8,TamilNadu
23,442,35,7,Telengana
30,1,0,0,Tripura
25,410,31,4,UttarPradesh
24,35,5,0,Uttarakhand
26,116,16,5,West Bengal
