,State,Confirmed,Cured,Dead
0,Andaman and Nicobar,33,33,0
1,Andhra Pradesh,2090,1056,46
2,Arunachal Pradesh,1,1,0
3,Assam,65,39,2
4,Bihar,831,383,6
5,Chandigarh,187,28,3
6,Chhattisgarh,59,54,0
7,Dadra and Nagar Haveli,1,0,0
8,Daman and Diu,0,0,0
9,Delhi,7639,2512,86
10,Goa,7,7,0
11,Gujarat,8903,3246,537
12,Haryana,780,342,11
13,Himachal Pradesh,65,39,2
14,Jammu and Kashmir,934,455,10
15,Jharkhand,172,79,3
16,Karnataka,925,433,31
17,Kerala,524,489,4
18,Ladakh,42,21,0
19,Lakshadweep,0,0,0
24,Madhya Pradesh,3986,1860,225
20,Maharashtra,24427,5125,921
21,Manipur,2,2,0
22,Meghalaya,13,10,1
23,Mizoram,1,1,0
25,Nagaland,0,0,0
26,Odisha,437,116,3
27,Puducherry,13,9,1
28,Punjab,1914,171,32
29,Rajasthan,4126,2378,117
30,Sikkim,0,0,0
31,Tamil Nadu,8718,2134,61
32,Telengana,1326,830,32
33,Tripura,154,2,0
34,Uttar Pradesh,3664,1873,82
35,Uttarakhand,69,46,1
36,West Bengal,2173,612,198
