,Confirmed,Cured,Dead,State
1,11,0,0,AndamanNicobar
0,348,6,4,AndhraPradesh
29,1,0,0,Arunachal Pradesh
27,28,0,0,Assam
2,38,0,1,Bihar
3,18,7,0,Chandigarh
4,10,9,0,Chhattisgarh
5,669,21,9,Delhi
6,7,0,0,Goa
7,179,25,16,Gujarat
8,147,28,3,Haryana
9,18,2,1,HimachalPradesh
10,158,4,4,J & K
28,4,0,0,Jharkhand
11,181,28,5,Karnataka
12,345,83,2,Kerala
13,14,10,0,Ladakh
14,229,0,13,MP
15,1135,117,72,Maharashtra
16,1,1,0,Manipur
17,1,0,0,Mizoram
18,42,2,1,Odisha
19,5,1,0,Puducherry
20,101,4,8,Punjab
21,381,21,3,Rajasthan
22,738,21,8,TamilNadu
23,427,35,7,Telengana
30,1,0,0,Tripura
25,361,27,4,UttarPradesh
24,33,5,0,Uttarakhand
26,103,16,5,West Bengal
