,State,Confirmed,Cured,Dead
0,Andaman and Nicobar,33,33,0
1,Andhra Pradesh,2647,1709,53
2,Arunachal Pradesh,1,1,0
3,Assam,203,54,4
4,Bihar,1982,593,11
5,Chandigarh,217,139,3
6,Chhattisgarh,128,59,0
7,Dadra and Nagar Haveli,1,0,0
8,Daman and Diu,0,0,0
9,Delhi,11659,5567,194
10,Goa,52,7,0
11,Gujarat,12905,5488,773
12,Haryana,1031,681,15
13,Himachal Pradesh,152,59,3
14,Jammu and Kashmir,1449,684,20
15,Jharkhand,290,129,3
16,Karnataka,1605,571,41
17,Kerala,690,510,4
18,Ladakh,44,43,0
19,Lakshadweep,0,0,0
24,Madhya Pradesh,5981,2843,270
20,Maharashtra,41642,11726,1454
21,Manipur,25,2,0
22,Meghalaya,14,12,1
23,Mizoram,1,1,0
25,Nagaland,0,0,0
26,Odisha,1103,393,7
27,Puducherry,20,10,0
28,Punjab,2028,1819,39
29,Rajasthan,6227,3485,151
30,Sikkim,0,0,0
31,Tamil Nadu,13967,6282,94
32,Telengana,1699,1035,45
33,Tripura,173,148,0
34,Uttar Pradesh,5515,3204,138
35,Uttarakhand,146,54,1
36,West Bengal,3197,1193,259
