,State,Confirmed,Cured,Dead
0,Andaman and Nicobar,33,33,0
1,Andhra Pradesh,2757,1809,56
2,Arunachal Pradesh,1,1,0
3,Assam,329,55,4
4,Bihar,2380,653,11
5,Chandigarh,225,179,3
6,Chhattisgarh,214,64,0
7,Dadra and Nagar Haveli,2,0,0
8,Daman and Diu,0,0,0
9,Delhi,12910,6267,231
10,Goa,55,16,0
11,Gujarat,13664,6169,829
12,Haryana,1131,750,16
13,Himachal Pradesh,185,61,3
14,Jammu and Kashmir,1569,774,21
15,Jharkhand,350,141,4
16,Karnataka,1959,608,42
17,Kerala,795,515,4
18,Ladakh,49,43,0
19,Lakshadweep,0,0,0
24,Madhya Pradesh,6371,3267,281
20,Maharashtra,47190,13404,1577
21,Manipur,29,4,0
22,Meghalaya,14,12,1
23,Mizoram,1,1,0
25,Nagaland,0,0,0
26,Odisha,1269,497,7
27,Puducherry,26,10,0
28,Punjab,2045,1870,39
29,Rajasthan,6742,3786,160
30,Sikkim,1,0,0
31,Tamil Nadu,15512,7491,103
32,Telengana,1813,1065,49
33,Tripura,189,153,0
34,Uttar Pradesh,6017,3406,155
35,Uttarakhand,244,56,2
36,West Bengal,3459,1281,269
