,Confirmed,Cured,Dead,State
0,16,11,0,AndamanNicobar
1,757,96,22,AndhraPradesh
2,1,1,0,Arunachal Pradesh
3,35,19,1,Assam
4,126,42,2,Bihar
5,27,14,0,Chandigarh
6,36,26,0,Chhattisgarh
7,2156,611,47,Delhi
8,7,7,0,Goa
9,2178,139,90,Gujarat
10,254,127,3,Haryana
11,39,16,1,HimachalPradesh
12,380,81,5,J & K
13,45,0,3,Jharkhand
14,418,129,17,Karnataka
15,427,307,3,Kerala
16,18,14,0,Ladakh
21,1552,148,76,MP
17,5218,722,251,Maharashtra
18,2,2,0,Manipur
19,12,0,1,Meghalaya
20,1,0,0,Mizoram
22,79,24,1,Odisha
23,7,3,0,Puducherry
24,245,39,16,Punjab
25,1659,230,25,Rajasthan
26,1596,635,18,TamilNadu
27,928,194,23,Telengana
28,2,1,0,Tripura
29,1294,140,20,UttarPradesh
30,46,19,0,Uttarakhand
31,423,73,15,West Bengal
