,Confirmed,Cured,Dead,State
1,11,10,0,AndamanNicobar
0,432,11,7,AndhraPradesh
29,1,0,0,Arunachal Pradesh
27,31,0,1,Assam
2,65,26,1,Bihar
3,21,7,0,Chandigarh
4,31,10,0,Chhattisgarh
5,1510,30,28,Delhi
6,7,5,0,Goa
7,539,54,26,Gujarat
8,185,29,3,Haryana
9,32,13,1,HimachalPradesh
10,270,16,4,J & K
28,24,0,2,Jharkhand
11,247,59,6,Karnataka
12,379,198,3,Kerala
13,15,10,0,Ladakh
14,604,44,43,MP
15,1985,217,149,Maharashtra
16,2,1,0,Manipur
17,1,0,0,Mizoram
31,1,0,0,Nagaland
18,54,12,1,Odisha
19,7,1,0,Puducherry
20,167,14,11,Punjab
21,873,21,3,Rajasthan
22,1173,58,11,TamilNadu
23,562,100,16,Telengana
30,2,0,0,Tripura
25,558,49,5,UttarPradesh
24,35,5,0,Uttarakhand
26,190,36,7,West Bengal
