,Confirmed,Cured,Dead,State
1,10,0,0,AndamanNicobar
0,226,1,3,AndhraPradesh
29,1,0,0,Arunachal Pradesh
27,26,0,0,Assam
2,32,0,1,Bihar
3,18,0,0,Chandigarh
4,10,8,0,Chhattisgarh
5,523,19,7,Delhi
6,7,0,0,Goa
7,144,22,12,Gujarat
8,84,25,1,Haryana
9,13,2,1,HimachalPradesh
10,109,4,2,J & K
28,4,0,0,Jharkhand
11,151,12,4,Karnataka
12,314,55,2,Kerala
13,14,10,0,Ladakh
14,165,0,9,MP
15,748,56,45,Maharashtra
16,2,0,0,Manipur
17,1,0,0,Mizoram
18,21,2,0,Odisha
19,5,1,0,Puducherry
20,76,4,6,Punjab
21,274,21,0,Rajasthan
22,571,8,5,TamilNadu
23,321,34,7,Telengana
25,305,21,3,UttarPradesh
24,26,4,0,Uttarakhand
26,80,10,3,West Bengal
