,State,Confirmed,Cured,Dead
0,Andaman and Nicobar,33,33,0
1,Andhra Pradesh,2205,1192,48
2,Arunachal Pradesh,1,1,0
3,Assam,87,39,2
4,Bihar,994,411,7
5,Chandigarh,191,37,3
6,Chhattisgarh,60,56,0
7,Dadra and Nagar Haveli,1,0,0
8,Daman and Diu,0,0,0
9,Delhi,8470,3045,115
10,Goa,14,7,0
11,Gujarat,9591,3753,586
12,Haryana,818,439,11
13,Himachal Pradesh,74,39,2
14,Jammu and Kashmir,983,485,11
15,Jharkhand,197,87,3
16,Karnataka,987,460,35
17,Kerala,560,491,4
18,Ladakh,43,22,0
19,Lakshadweep,0,0,0
24,Madhya Pradesh,4426,2171,237
20,Maharashtra,27524,6059,1019
21,Manipur,3,2,0
22,Meghalaya,13,11,1
23,Mizoram,1,1,0
25,Nagaland,0,0,0
26,Odisha,611,158,3
27,Puducherry,13,9,1
28,Punjab,1935,223,32
29,Rajasthan,4534,2580,125
30,Sikkim,0,0,0
31,Tamil Nadu,9674,2240,66
32,Telengana,1414,950,34
33,Tripura,156,29,0
34,Uttar Pradesh,3902,2072,88
35,Uttarakhand,78,50,1
36,West Bengal,2377,768,215
