,Confirmed,Cured,Dead,State
0,18,11,0,AndamanNicobar
1,895,141,27,AndhraPradesh
2,1,1,0,Arunachal Pradesh
3,35,19,1,Assam
4,148,46,2,Bihar
5,27,14,0,Chandigarh
6,36,28,0,Chhattisgarh
7,2248,724,48,Delhi
8,7,7,0,Goa
9,2407,179,103,Gujarat
10,262,140,3,Haryana
11,40,18,1,HimachalPradesh
12,407,92,5,J & K
13,49,8,3,Jharkhand
14,443,141,17,Karnataka
15,438,324,3,Kerala
16,18,14,0,Ladakh
21,1695,148,81,MP
17,5652,789,269,Maharashtra
18,2,2,0,Manipur
19,12,0,1,Meghalaya
20,1,0,0,Mizoram
22,83,32,1,Odisha
23,7,3,0,Puducherry
24,277,65,16,Punjab
25,1890,230,27,Rajasthan
26,1629,662,18,TamilNadu
27,960,197,24,Telengana
28,2,1,0,Tripura
29,1509,187,21,UttarPradesh
30,46,23,0,Uttarakhand
31,456,79,15,West Bengal
