,Confirmed,Cured,Dead,State
0,22,11,0,AndamanNicobar
1,895,141,27,AndhraPradesh
2,1,1,0,Arunachal Pradesh
3,36,19,1,Assam
4,153,46,2,Bihar
5,27,14,0,Chandigarh
6,36,28,0,Chhattisgarh
7,2376,808,50,Delhi
8,7,7,0,Goa
9,2624,258,112,Gujarat
10,272,156,3,Haryana
11,40,18,1,HimachalPradesh
12,427,92,5,J & K
13,53,8,3,Jharkhand
14,445,145,17,Karnataka
15,447,324,3,Kerala
16,18,14,0,Ladakh
21,1699,203,83,MP
17,6430,840,283,Maharashtra
18,2,2,0,Manipur
19,12,0,1,Meghalaya
20,1,0,0,Mizoram
22,90,33,1,Odisha
23,7,3,0,Puducherry
24,277,65,16,Punjab
25,1964,230,27,Rajasthan
26,1683,752,20,TamilNadu
27,960,197,24,Telengana
28,2,1,0,Tripura
29,1510,206,24,UttarPradesh
30,47,24,0,Uttarakhand
31,514,103,15,West Bengal
