,Confirmed,Cured,Dead,State
1,11,10,0,AndamanNicobar
0,503,16,9,AndhraPradesh
29,1,0,0,Arunachal Pradesh
27,33,0,1,Assam
2,70,29,1,Bihar
3,21,7,0,Chandigarh
4,33,13,0,Chhattisgarh
5,1561,30,30,Delhi
6,7,5,0,Goa
7,695,59,30,Gujarat
8,199,34,3,Haryana
9,33,13,1,HimachalPradesh
10,278,30,4,J & K
28,27,0,2,Jharkhand
11,277,75,11,Karnataka
12,387,211,3,Kerala
13,17,10,0,Ladakh
14,987,64,53,MP
15,2687,259,178,Maharashtra
16,2,1,0,Manipur
31,7,0,1,Meghalaya
17,1,0,0,Mizoram
18,60,18,1,Odisha
19,7,1,0,Puducherry
20,186,14,13,Punjab
21,1005,147,3,Rajasthan
22,1204,81,12,TamilNadu
23,647,120,18,Telengana
30,2,0,0,Tripura
25,735,51,11,UttarPradesh
24,37,9,0,Uttarakhand
26,213,37,7,West Bengal
