,Confirmed,Cured,Dead,State
1,10,0,0,AndamanNicobar
0,305,5,4,AndhraPradesh
29,1,0,0,Arunachal Pradesh
27,27,0,0,Assam
2,38,0,1,Bihar
3,18,7,0,Chandigarh
4,10,9,0,Chhattisgarh
5,576,21,9,Delhi
6,7,0,0,Goa
7,165,25,13,Gujarat
8,147,28,3,Haryana
9,18,2,1,HimachalPradesh
10,116,4,2,J & K
28,4,0,0,Jharkhand
11,175,25,4,Karnataka
12,336,70,2,Kerala
13,14,10,0,Ladakh
14,229,0,13,MP
15,1018,79,64,Maharashtra
16,2,0,0,Manipur
17,1,0,0,Mizoram
18,42,2,1,Odisha
19,5,1,0,Puducherry
20,91,4,7,Punjab
21,328,21,3,Rajasthan
22,690,19,7,TamilNadu
23,427,35,7,Telengana
30,1,0,0,Tripura
25,343,26,3,UttarPradesh
24,31,5,0,Uttarakhand
26,99,13,5,West Bengal
