,State,Confirmed,Cured,Dead
0,Andaman and Nicobar,33,33,0
1,Andhra Pradesh,2137,1142,47
2,Arunachal Pradesh,1,1,0
3,Assam,80,39,2
4,Bihar,940,388,7
5,Chandigarh,187,28,3
6,Chhattisgarh,59,55,0
7,Dadra and Nagar Haveli,1,0,0
8,Daman and Diu,0,0,0
9,Delhi,7998,2858,106
10,Goa,7,7,0
11,Gujarat,9267,3562,566
12,Haryana,793,418,11
13,Himachal Pradesh,66,39,2
14,Jammu and Kashmir,971,466,11
15,Jharkhand,173,79,3
16,Karnataka,959,451,33
17,Kerala,534,490,4
18,Ladakh,43,22,0
19,Lakshadweep,0,0,0
24,Madhya Pradesh,4173,2004,232
20,Maharashtra,25922,5547,975
21,Manipur,2,2,0
22,Meghalaya,13,10,1
23,Mizoram,1,1,0
25,Nagaland,0,0,0
26,Odisha,538,143,3
27,Puducherry,13,9,1
28,Punjab,1924,200,32
29,Rajasthan,4328,2459,121
30,Sikkim,0,0,0
31,Tamil Nadu,9227,2176,64
32,Telengana,1367,940,34
33,Tripura,155,16,0
34,Uttar Pradesh,3729,1902,83
35,Uttarakhand,72,46,1
36,West Bengal,2290,702,207
