,State,Confirmed,Cured,Dead
0,Andaman and Nicobar,33,32,0
1,Andhra Pradesh,1717,589,36
2,Arunachal Pradesh,1,1,0
3,Assam,43,32,1
4,Bihar,536,142,4
5,Chandigarh,102,21,1
6,Chhattisgarh,59,36,0
7,Dadra and Nagar Haveli,1,0,0
8,Delhi,5104,1468,64
9,Goa,7,7,0
10,Gujarat,6245,1381,368
11,Haryana,548,256,6
12,Himachal Pradesh,42,38,2
13,Jammu and Kashmir,741,320,8
14,Jharkhand,125,33,3
15,Karnataka,671,331,29
16,Kerala,502,462,4
17,Ladakh,41,17,0
22,Madhya Pradesh,3049,1000,176
18,Maharashtra,15525,2819,617
19,Manipur,2,2,0
20,Meghalaya,12,10,1
21,Mizoram,1,0,0
23,Odisha,175,60,1
24,Puducherry,9,6,0
25,Punjab,1451,133,25
26,Rajasthan,3158,1525,89
27,Tamil Nadu,4058,1485,33
28,Telengana,1096,585,29
29,Tripura,43,2,0
30,Uttar Pradesh,2880,987,56
31,Uttarakhand,61,39,1
32,West Bengal,1344,364,140
